Id,Label,Type
TC degree positively influences overall innovation,TC degree positively influences overall innovation,Results
TC degree negatively influences convergent innovation,TC degree negatively influences convergent innovation,Results
TC betweenness has opposite effect,TC betweenness has opposite effect,Results
convergent innovation is ratio of TC patents to total patents,convergent innovation is ratio of TC patents to total patents,Results
Hybrid approach yields more accurate class predictions,Hybrid approach yields more accurate class predictions,Results
Outperforms conventional methods,Outperforms conventional methods,Results
Patent-network-based approach improves accuracy,Patent-network-based approach improves accuracy,Results
patent network ecology related to convergence,patent network ecology related to convergence,Results
technologies with potential to converge,technologies with potential to converge,Results
convergence-based R&D policies,convergence-based R&D policies,Results
quantum computation subfield,quantum computation subfield,Results
long-term attributes backgrounds,long-term attributes backgrounds,Results
path toward focal actor,path toward focal actor,Results
core safety fields compared,core safety fields compared,Results
medical safety,medical safety,Results
working safety,working safety,Results
vehicle safety,vehicle safety,Results
detailed technology in core patent class,detailed technology in core patent class,Results
implications for stakeholders,implications for stakeholders,Results
support collective decision making,support collective decision making,Results
Proposed approach outperforms conventional approaches,Proposed approach outperforms conventional approaches,Results
Demonstrate superior performance on test dataset,Demonstrate superior performance on test dataset,Results
proposes a novel method called intelligent patent network analysis,proposes a novel method called intelligent patent network analysis,Results
method enables visual network with great precision,method enables visual network with great precision,Results
verified utility with CNT-BLU patents,verified utility with CNT-BLU patents,Results
Effective in collecting royalties,Effective in collecting royalties,Results
Deterring potential entrants,Deterring potential entrants,Results
Delaying R&D investments,Delaying R&D investments,Results
Identify patents belonging to cloud computing,Identify patents belonging to cloud computing,Results
Reveal overall patent structure,Reveal overall patent structure,Results
Identify key technologies,Identify key technologies,Results
Provide valuable reference for enterprises,Provide valuable reference for enterprises,Results
network accessibility improved,network accessibility improved,Results
scale-free network characteristics,scale-free network characteristics,Results
China's position increasing,China's position increasing,Results
