Id,Label,Type
patent network analysis,patent network analysis,Methodology
three centrality indices,three centrality indices,Methodology
panel regression,panel regression,Methodology
empirical analysis on top 30 firms,empirical analysis on top 30 firms,Methodology
Hybrid approach combining novel patent-network-based method,Hybrid approach combining novel patent-network-based method,Methodology
Three conventional methods,Three conventional methods,Methodology
Content-based classification,Content-based classification,Methodology
Citation-based classification,Citation-based classification,Methodology
Metadata-based classification,Metadata-based classification,Methodology
Modified k-nearest neighbor classifier,Modified k-nearest neighbor classifier,Methodology
Reachable nodes analysis,Reachable nodes analysis,Methodology
Relevance calculation,Relevance calculation,Methodology
quadratic assignment procedures,quadratic assignment procedures,Methodology
QAP,QAP,Methodology
innovation ecosystem theory,innovation ecosystem theory,Methodology
social-technical system theory,social-technical system theory,Methodology
patent co-class analysis,patent co-class analysis,Methodology
patent citation analysis,patent citation analysis,Methodology
centrality analysis,centrality analysis,Methodology
association rule mining,association rule mining,Methodology
brokerage network analysis,brokerage network analysis,Methodology
Construct patent network with various types of nodes,Construct patent network with various types of nodes,Methodology
Analyze reachable nodes in patent ontology network,Analyze reachable nodes in patent ontology network,Methodology
Use modified k-nearest neighbor classifier,Use modified k-nearest neighbor classifier,Methodology
Evaluate performance on USPTO dataset,Evaluate performance on USPTO dataset,Methodology
Compare with conventional methods,Compare with conventional methods,Methodology
artificial intelligence techniques,artificial intelligence techniques,Methodology
automated procedure for searching patent documents,automated procedure for searching patent documents,Methodology
extracting patent keywords,extracting patent keywords,Methodology
determining weight of each patent keyword,determining weight of each patent keyword,Methodology
generate sophisticated visualization,generate sophisticated visualization,Methodology
Identify technological trajectories,Identify technological trajectories,Methodology
Study scale-free networks,Study scale-free networks,Methodology
Legal enforcement indicators,Legal enforcement indicators,Methodology
Bibliometric and network analyses,Bibliometric and network analyses,Methodology
Two-stage patent retrieval method,Two-stage patent retrieval method,Methodology
Gray relational-based cluster analysis,Gray relational-based cluster analysis,Methodology
Visual networks and technology centrality indexes,Visual networks and technology centrality indexes,Methodology
social network analysis,social network analysis,Methodology
global innovation networks,global innovation networks,Methodology
factor identification,factor identification,Methodology
