Id,Label,Type,Full_Text
Paper_1,As a consequence of the convergence between manufa...,Paper,"As a consequence of the convergence between manufacturing technology and the foundation technologies of Industry 4.0, it is becoming more important for firms to formulate an innovation strategy for th"
Paper_2,Effective patent management is essential for organ...,Paper,Effective patent management is essential for organizations to maintain their competitive advantage. The classification of patents is a critical part of patent management and industrial analysis. This 
Paper_3,Because of the remarkable developments in robotics...,Paper,"Because of the remarkable developments in robotics in recent years, technological convergence has been active in this area. We focused on finding patterns of convergence within robot technology using "
Paper_4,While the new chapter of quantum technologies is b...,Paper,"While the new chapter of quantum technologies is bringing transformative changes to our society, a quantum ecosystem, which synergises the supportive activities from both social and scientific & techn"
Paper_5,"Purpose Using the large database of patent, the pu...",Paper,"Purpose Using the large database of patent, the purpose of this paper is to structure a technology convergence network using various patent network analysis for integrating different results according"
Paper_6,Patent management is increasingly important for or...,Paper,Patent management is increasingly important for organizations to sustain their competitive advantage. The classification of patents is essential for patent management and industrial analysis. In this 
Paper_7,"Patent network analysis, an advanced method of pat...",Paper,"Patent network analysis, an advanced method of patent analysis, is a useful tool for technology management. This method visually displays all the relationships among the patents and enables the analys"
Paper_8,Plant biotechnology has consolidated itself as a r...,Paper,"Plant biotechnology has consolidated itself as a radical agricultural innovation, boosting the patenting activities of universities, biotechnology firms, and seed &amp; agrochemicals corporations. We "
Paper_9,"With the rise of cloud computing technology, many ...",Paper,"With the rise of cloud computing technology, many IT manufacturers have rushed to enter the market. However, to date, only a few attempts have been made at the patent analysis of cloud computing. The "
Paper_10,This study uses global patent cooperation data fro...,Paper,"This study uses global patent cooperation data from 1999 to 2020, employs social network analysis, and explores the changes in and driving forces of global innovation networks (GINs) in the past 20 ye"
