Id,Label,Type
measure firm-level technology convergence capability,measure firm-level technology convergence capability,Purpose
understand innovation strategy for technological capabilities,understand innovation strategy for technological capabilities,Purpose
Propose hybrid-patent-classification approach,Propose hybrid-patent-classification approach,Purpose
finding patterns of convergence,finding patterns of convergence,Purpose
identify variables affecting convergence,identify variables affecting convergence,Purpose
understand quantum ecosystem,understand quantum ecosystem,Purpose
push quantum movements,push quantum movements,Purpose
structure technology convergence network,structure technology convergence network,Purpose
integrate different results,integrate different results,Purpose
analyze patent network characteristics,analyze patent network characteristics,Purpose
Propose a novel patent network-based classification method,Propose a novel patent network-based classification method,Purpose
improve efficiency and quality of patent analysis,improve efficiency and quality of patent analysis,Purpose
Study appropriability efforts,Study appropriability efforts,Purpose
Analyze technological trajectories,Analyze technological trajectories,Purpose
Propose a two-stage retrieval strategy,Propose a two-stage retrieval strategy,Purpose
Systematic method for patent network analysis,Systematic method for patent network analysis,Purpose
explore changes in global innovation networks,explore changes in global innovation networks,Purpose
driving forces,driving forces,Purpose
