Id,Label,Type
convergence between manufacturing technology and Industry 4.0 foundation technologies,convergence between manufacturing technology and Industry 4.0 foundation technologies,Background
previous work on innovation strategy,previous work on innovation strategy,Background
Effective patent management essential,Effective patent management essential,Background
Patent classification critical,Patent classification critical,Background
Conventional classification methods exist,Conventional classification methods exist,Background
technological convergence in robotics,technological convergence in robotics,Background
network analysis of patents,network analysis of patents,Background
quantum technologies transformative,quantum technologies transformative,Background
quantum ecosystem critical,quantum ecosystem critical,Background
articles lack interconnected relations,articles lack interconnected relations,Background
large database of patent,large database of patent,Background
technology convergence,technology convergence,Background
previous work on patent network,previous work on patent network,Background
Patent management is essential for competitive advantage,Patent management is essential for competitive advantage,Background
Classification of patents is essential for patent management,Classification of patents is essential for patent management,Background
patent network analysis is a useful tool for technology management,patent network analysis is a useful tool for technology management,Background
traditional methods of patent analysis exist,traditional methods of patent analysis exist,Background
current method has limitations,current method has limitations,Background
Patent citations networks,Patent citations networks,Background
Genetically modified organisms,Genetically modified organisms,Background
Patent analysis of cloud computing,Patent analysis of cloud computing,Background
Few attempts made,Few attempts made,Background
Rise of cloud computing technology,Rise of cloud computing technology,Background
global patent cooperation data,global patent cooperation data,Background
1999 to 2020,1999 to 2020,Background
previous work,previous work,Background
